tumor_sample,closest_fetal_profile,distance,stage,tissue,cluster
TCGA-44-2665-01,16 week post conception | heart,0.49591414663298006,16 week post conception,heart,1
TCGA-AO-A03L-01,4 week post conception | hindbrain,0.7138369192924494,4 week post conception,hindbrain,2
TCGA-A2-A0YL-01,16 week post conception | kidney,0.5089450976535038,16 week post conception,kidney,2
TCGA-RW-A68G-01,neonate | forebrain,0.6202140417980063,neonate,forebrain,3
TCGA-OR-A5JE-01,11 week post conception | testis,0.6791748587667119,11 week post conception,testis,0
TCGA-S9-A6TV-01,19 week post conception | forebrain,0.537170808609527,19 week post conception,forebrain,1
TCGA-QR-A700-01,middle adult | forebrain,0.6713247140273546,middle adult,forebrain,1
TCGA-37-A5EM-01,5 week post conception | forebrain,0.5636622566816858,5 week post conception,forebrain,2
TCGA-3B-A9HZ-01,19 week post conception | testis,0.7199805978227553,19 week post conception,testis,1
TCGA-XJ-A83F-01,infant | testis,0.6826693249930367,infant,testis,3
TCGA-BH-A8G0-01,infant | testis,0.4722388028194634,infant,testis,1
TCGA-E7-A519-01,8 week post conception | testis,0.5631530300070375,8 week post conception,testis,3
TCGA-BR-6710-01,school age child | kidney,0.5253196481949632,school age child,kidney,3
TCGA-3B-A9HU-01,16 week post conception | ovary,0.8141756121783121,16 week post conception,ovary,2
TCGA-IR-A3LK-01,5 week post conception | forebrain,0.6120168167668797,5 week post conception,forebrain,0
TCGA-E2-A14U-01,infant | testis,0.4410101371066346,infant,testis,1
TCGA-DR-A0ZL-01,5 week post conception | forebrain,0.6102135270515892,5 week post conception,forebrain,2
TCGA-BH-A0HF-01,16 week post conception | heart,0.7844335774165767,16 week post conception,heart,0
TCGA-A8-A07U-01,4 week post conception | hindbrain,0.6415773263977615,4 week post conception,hindbrain,0
TCGA-CJ-4876-01,infant | testis,0.5874289816828131,infant,testis,1
TCGA-CX-A4AQ-01,9 week post conception | liver,0.5529039393376073,9 week post conception,liver,0
TCGA-EJ-5531-01,19 week post conception | kidney,0.6496325421582309,19 week post conception,kidney,1
TCGA-CN-5365-01,13 week post conception | liver,0.643364131736716,13 week post conception,liver,0
TCGA-V1-A8MU-01,infant | testis,0.458383299222201,infant,testis,1
TCGA-06-0219-01,adolescent | heart,0.6768438859377499,adolescent,heart,0
TCGA-BH-A1FN-01,16 week post conception | kidney,0.6161995253232954,16 week post conception,kidney,2
TCGA-77-8144-01,4 week post conception | hindbrain,0.5559442531091314,4 week post conception,hindbrain,0
TCGA-G7-7501-01,13 week post conception | kidney,0.6998869936770409,13 week post conception,kidney,2
TCGA-CW-5589-01,19 week post conception | kidney,0.518663712870117,19 week post conception,kidney,1
TCGA-BH-A0E6-01,9 week post conception | liver,0.6144977885350509,9 week post conception,liver,0
TCGA-CM-6675-01,7 week post conception | kidney,0.6333202560922407,7 week post conception,kidney,2
TCGA-XJ-A83G-01,infant | testis,0.6630776945011962,infant,testis,1
TCGA-VQ-A92D-01,16 week post conception | kidney,0.7901976815078539,16 week post conception,kidney,2
TCGA-96-8169-01,4 week post conception | liver,0.8328804656715393,4 week post conception,liver,0
TCGA-XU-A931-01,infant | testis,0.6118205545586077,infant,testis,1
